id,competition_id,date,course,player_id,out_score,in_score,total_score,handicap,net_score
1,48,2024-09-28,千葉よみうり,1,45.0,43.0,88,14.4,73.6
2,48,2024-09-28,千葉よみうり,2,42.0,46.0,88,13.2,74.8
3,48,2024-09-28,千葉よみうり,3,44.0,41.0,85,9.6,75.4
4,48,2024-09-28,千葉よみうり,4,43.0,42.0,85,8.4,76.6
5,48,2024-09-28,千葉よみうり,5,44.0,46.0,90,13.2,76.8
6,48,2024-09-28,千葉よみうり,6,65.0,55.0,120,43.2,76.8
7,48,2024-09-28,千葉よみうり,7,53.0,58.0,111,33.6,77.4
8,48,2024-09-28,千葉よみうり,8,47.0,45.0,92,14.4,77.6
9,48,2024-09-28,千葉よみうり,9,55.0,51.0,106,25.2,80.8
10,48,2024-09-28,千葉よみうり,10,58.0,57.0,115,30.0,85.0
11,49,2024-12-21,千葉よみうり,3,43.0,47.0,90,21.6,68.4
12,49,2024-12-21,千葉よみうり,1,44.0,43.0,87,16.8,70.2
13,49,2024-12-21,千葉よみうり,8,45.0,47.0,92,21.6,70.4
14,49,2024-12-21,千葉よみうり,5,47.0,48.0,95,24.0,71.0
15,49,2024-12-21,千葉よみうり,9,46.0,46.0,92,19.2,72.8
16,49,2024-12-21,千葉よみうり,2,47.0,53.0,100,26.4,73.6
17,49,2024-12-21,千葉よみうり,4,44.0,44.0,88,12.0,76.0
18,49,2024-12-21,千葉よみうり,7,49.0,47.0,96,19.2,76.8
19,49,2024-12-21,千葉よみうり,11,53.0,50.0,103,24.0,79.0
20,49,2024-12-21,千葉よみうり,12,45.0,49.0,94,14.4,79.6
21,49,2024-12-21,千葉よみうり,13,59.0,65.0,124,43.2,80.8
22,49,2024-12-21,千葉よみうり,14,48.0,53.0,101,16.8,84.2
23,47,2024-06-29,加茂ゴルフ俱楽部,1,46.0,42.0,88,18.0,70.0
24,47,2024-06-29,加茂ゴルフ俱楽部,8,50.0,46.0,96,22.8,73.2
25,47,2024-06-29,加茂ゴルフ俱楽部,3,48.0,47.0,95,21.6,73.4
26,47,2024-06-29,加茂ゴルフ俱楽部,9,55.0,49.0,104,28.8,75.2
27,47,2024-06-29,加茂ゴルフ俱楽部,7,58.0,55.0,113,33.6,79.4
28,47,2024-06-29,加茂ゴルフ俱楽部,5,43.0,51.0,94,13.2,80.8
29,47,2024-06-29,加茂ゴルフ俱楽部,4,50.0,55.0,105,21.6,83.4
30,47,2024-06-29,加茂ゴルフ俱楽部,6,75.0,68.0,143,49.2,93.8
31,46,2024-02-17,グリッサンドゴルフクラブ,1,41.0,50.0,91,21.6,69.4
32,46,2024-02-17,グリッサンドゴルフクラブ,8,53.0,45.0,98,26.4,71.6
33,46,2024-02-17,グリッサンドゴルフクラブ,9,63.0,55.0,118,45.6,72.4
34,46,2024-02-17,グリッサンドゴルフクラブ,4,43.0,42.0,85,12.0,73.0
35,46,2024-02-17,グリッサンドゴルフクラブ,15,56.0,52.0,108,33.6,74.4
36,46,2024-02-17,グリッサンドゴルフクラブ,12,58.0,68.0,126,50.4,75.6
37,46,2024-02-17,グリッサンドゴルフクラブ,16,43.0,43.0,86,9.6,76.4
38,46,2024-02-17,グリッサンドゴルフクラブ,5,50.0,48.0,98,19.2,78.8
39,46,2024-02-17,グリッサンドゴルフクラブ,3,58.0,49.0,107,21.6,85.4
40,46,2024-02-17,グリッサンドゴルフクラブ,17,60.0,64.0,124,38.4,85.6
41,45,2023-11-23,千葉よみうり,1,,,0,,0.0
42,44,2023-07-08,加茂ゴルフ俱楽部,3,,,0,,0.0
43,43,2022-07-30,市原ゴルフクラブ柿の木台コース,5,44.0,46.0,90,16.8,73.2
44,43,2022-07-30,市原ゴルフクラブ柿の木台コース,2,44.0,47.0,91,15.6,75.4
45,43,2022-07-30,市原ゴルフクラブ柿の木台コース,12,48.0,47.0,95,19.2,75.8
46,43,2022-07-30,市原ゴルフクラブ柿の木台コース,4,43.0,46.0,89,12.0,77.0
47,43,2022-07-30,市原ゴルフクラブ柿の木台コース,9,52.0,51.0,103,24.0,79.0
48,43,2022-07-30,市原ゴルフクラブ柿の木台コース,10,52.0,49.0,101,21.6,79.4
49,43,2022-07-30,市原ゴルフクラブ柿の木台コース,8,45.0,49.0,94,14.4,79.6
50,43,2022-07-30,市原ゴルフクラブ柿の木台コース,7,48.0,50.0,98,18.0,80.0
51,43,2022-07-30,市原ゴルフクラブ柿の木台コース,14,55.0,53.0,108,27.6,80.4
52,43,2022-07-30,市原ゴルフクラブ柿の木台コース,6,56.0,58.0,114,32.4,81.6
53,43,2022-07-30,市原ゴルフクラブ柿の木台コース,18,60.0,57.0,117,34.8,82.2
